,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Risk,Purpose_car,Purpose_domestic appliances,Purpose_education,Purpose_furniture/equipment,Purpose_radio/TV,Purpose_repairs,Purpose_vacation/others
0,67,1,2,1,0,0,1169,6,1,0,0,0,0,1,0,0
1,22,0,2,1,0,1,5951,48,0,0,0,0,0,1,0,0
2,49,1,1,1,0,0,2096,12,1,0,0,1,0,0,0,0
3,45,1,2,0,0,0,7882,42,1,0,0,0,1,0,0,0
4,53,1,2,0,0,0,4870,24,0,1,0,0,0,0,0,0
5,35,1,1,0,0,0,9055,36,1,0,0,1,0,0,0,0
6,53,1,2,1,2,0,2835,24,1,0,0,0,1,0,0,0
7,35,1,3,2,0,1,6948,36,1,1,0,0,0,0,0,0
8,61,1,1,1,3,0,3059,12,1,0,0,0,0,1,0,0
9,28,1,3,1,0,1,5234,30,0,1,0,0,0,0,0,0
10,25,0,2,2,0,1,1295,12,0,1,0,0,0,0,0,0
11,24,0,2,2,0,0,4308,48,0,0,0,0,0,0,0,0
12,22,0,2,1,0,1,1567,12,1,0,0,0,0,1,0,0
13,60,1,1,1,0,0,1199,24,0,1,0,0,0,0,0,0
14,28,0,2,2,0,0,1403,15,1,1,0,0,0,0,0,0
15,32,0,1,1,1,0,1282,24,0,0,0,0,0,1,0,0
16,53,1,2,1,0,0,2424,24,1,0,0,0,0,1,0,0
17,25,1,2,1,0,0,8072,30,1,0,0,0,0,0,0,0
18,44,0,3,0,0,1,12579,24,0,1,0,0,0,0,0,0
19,31,1,2,1,2,0,3430,24,1,0,0,0,0,1,0,0
20,48,1,2,1,0,0,2134,9,1,1,0,0,0,0,0,0
21,44,1,2,2,2,0,2647,6,1,0,0,0,0,1,0,0
22,48,1,1,2,0,0,2241,10,1,1,0,0,0,0,0,0
23,44,1,2,1,1,1,1804,12,1,1,0,0,0,0,0,0
24,26,1,2,1,0,0,2069,10,1,0,0,0,1,0,0,0
25,36,1,1,1,0,0,1374,6,1,0,0,0,1,0,0,0
26,39,1,1,1,0,0,426,6,1,0,0,0,0,1,0,0
27,42,0,2,2,3,2,409,12,1,0,0,0,0,1,0,0
28,34,1,2,1,0,1,2415,7,1,0,0,0,0,1,0,0
29,63,1,2,1,0,0,6836,60,0,0,0,0,0,0,0,0
30,36,1,2,1,3,1,1913,18,1,0,0,0,0,0,0,0
31,27,1,2,1,0,0,4020,24,1,0,0,0,1,0,0,0
32,30,1,2,1,1,1,5866,18,1,1,0,0,0,0,0,0
33,57,1,1,2,0,0,1264,12,1,0,0,0,0,0,0,0
34,33,0,3,1,0,2,1474,12,1,0,0,0,1,0,0,0
35,25,1,1,1,0,1,4746,45,0,0,0,0,0,1,0,0
36,31,1,2,0,0,0,6110,48,1,0,0,1,0,0,0,0
37,37,1,2,1,0,2,2100,18,0,0,0,0,0,1,0,0
38,37,1,2,1,0,2,1225,10,1,0,1,0,0,0,0,0
39,24,1,2,1,0,1,458,9,1,0,0,0,0,1,0,0
40,30,1,3,1,2,0,2333,30,1,0,0,0,0,1,0,0
41,26,1,2,1,2,1,1158,12,1,0,0,0,0,1,0,0
42,44,1,1,1,0,1,6204,18,1,0,0,0,0,0,1,0
43,24,1,2,2,1,0,6187,30,1,1,0,0,0,0,0,0
44,58,0,1,0,0,0,6143,48,0,1,0,0,0,0,0,0
45,35,0,3,1,0,0,1393,11,1,1,0,0,0,0,0,0
